t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[0],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[0].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[3],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[3].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)"
146733.2522495909,92.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1640.185209348,3775.4901776072,1.7304366609321
146863.22578298615,93.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1639.4069769954,3605.4010933259,1.6635591228834
147095.20712235649,94.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1638.0179604874,3301.8201060808,1.5441937379082
147590.05982460044,95.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1635.0549696953,2654.2340877576,1.2895685880158
147724.314988747,96.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1634.2511005574,2478.541873095,1.2204879481817
147794.85258971193,97.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1633.8287480852,2386.2332650106,1.1841930120577
148282.03173600105,98.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,148282.5253043864,-122.99093439023,10.0,14.0,1939.6536597479,2052.3227348216,1.106505458835
148464.145584569,99.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,148464.63915363216,-132.15832306322,10.0,14.0,2152.7393814061,2024.6329482848,1.1328028993333
148990.36406946517,100.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2768.4511819399,1944.623231105,1.2087894286637
149435.81180928813,101.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3289.6556584116,1876.8944288971,1.2731125733626
